127.0.0.1 - - [26/Dec/2020:18:07:39 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:07:40 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:07:45 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:07:45 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:09:34 +0900] "POST /dbhw/Main/csvUpload.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:09:35 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:18:11 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:18:19 +0900] "POST /dbhw/Main/csvUpload.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:18:20 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:18:54 +0900] "GET /dbhw/Main/customerInput.jsp? HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:19:18 +0900] "GET /dbhw/Main/customerInsert.jsp?customerName=Emma+Watson&customerPhone1=800&customerPhone2=000&customerPhone3=0001&customerAddress=00001+HP+Street&customerGender=Female HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:19:20 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:22:05 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:22:10 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:22:16 +0900] "POST /dbhw/Main/csvUpload.jsp HTTP/1.1" 200 242
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:22:17 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:39:20 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:39:27 +0900] "POST /dbhw/Main/csvUpload.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:41:18 +0900] "GET /dbhw/Main/csvUpload.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:41:25 +0900] "GET /dbhw/Main/Main.jsp HTTP/1.1" 200 3240
0:0:0:0:0:0:0:1 - - [26/Dec/2020:18:41:32 +0900] "POST /dbhw/Main/csvUpload.jsp HTTP/1.1" 200 327
